leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
BMJE6zFwTXwPopVdG1ccYMLWWGd5aNPvm5offrqHUxXV,9SGUxCqs4fpRCRuVKyfqoZxkBSSXgH37ca6XfyLsK31F,"",1.3333333333333335,0.43750000000000006,5.333333333333334,1.7500000000000002,4,0.04297825031807262,0.9308939500382867,true,-0.3501560423800307,0.399817748729237,true,0
wiFDeRHa4zcPvrZzdrnBEYCWAjMTjnV2vBgQeCpWSa9,HaTniLULzUW7Mfq5qBXPU3okduucnoq81Kr21niLjNgT,"DogWifValidator",1.0208333333333335,0.43750000000000006,4.083333333333334,1.7500000000000002,4,0.04297825031807262,0.9308939500382867,true,-0.3501560423800307,0.399817748729237,true,0
GqT4x9wuaqxES9KpnqjyX1t9ddVj25YMeG7mnkds8HWF,Ac5y3nnaU97CqdsqNBygqxbCd7Hk8NU5PVk61R5qMHqT,"",0.5826981707317074,0.35480182926829273,382.25000000000006,232.75000000000003,656,0.28614823019942903,0.43000497895088785,true,-0.0044507038942453135,0.05411241024345166,true,438
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.5347222222222222,0.3492063492063492,44.916666666666664,29.333333333333332,84,0.1845349922918858,0.559925616163597,true,-0.05699799603947345,0.1066597023886798,true,46
7b24ANrGm5tPzZsedBbuXUuVZN1tEwf9k4zFcNXm6nYs,GZw27T4rCYcmzVG8tYqkQ29Hw2Gg4oQ3Z7PtqoQ5TmoV,"",0.5562097423510468,0.3372584541062802,921.0833333333335,558.5,1656,0.2937134922891231,0.38375155391910215,true,0.0064012527035940715,0.043260453645612276,true,961
7HW9bm5W1eA6RoDAodeoJZwzYjwWj95BeEd5MQKrpMCq,AJTwC1Y3e7DRXPij3ZehavvugoL5hUfW6vhQzeYYu2JC,"",0.5455097087378641,0.33367044228694714,674.25,412.4166666666667,1236,0.2837796507398629,0.38758586435610876,true,0.003498594010882112,0.046163112338324236,true,734
8BwV97uHgQEFYGVhMxcrUuNZ7rzhpiiHJNAThvCX4zv3,BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD,"",0.4846451997614788,0.31648777579010146,2167.333333333333,1415.3333333333337,4472,0.2900861245588987,0.3441275307947449,true,0.013615958759490277,0.03604574758971607,true,2565
3zr2d3xyqANDBpbaq3QNvn9W6fofxGGK5AKbF9dEvNvk,7cPztttFu6zHWvHqnGPRhxvGrmoMdzm75Lsn2yTbHbi2,"",0.47315950920245403,0.3082566462167689,1542.5000000000002,1004.9166666666666,3260,0.27773754818091195,0.34054810546169817,true,0.011695635126352346,0.037966071222854,true,1625
4dALbSiXCWQFF4KvA2hoKrpVLMUscVFFyfSxW8m2K1Ex,9jmvcGEGNq83FqzJrRVHoRX6sDc3MFbg8PeKyCGwzKgm,"",0.4727106545961003,0.2970636025998143,2715.25,1706.3333333333333,5744,0.2741637439792408,0.3210302143066296,true,0.014935327475766435,0.03472637887343992,true,2917
CYhgRWDhcgLwwTo1XBKnzzVS3L3767ueyQmQjSeLeLbK,2NS9Jo3WJvxz6K1vnMdFVsVQXBLZZounC5w8n8AEHDCy,"",0.4620238095238095,0.2961309523809524,1940.5,1243.75,4200,0.2694944198466885,0.32423168685903964,true,0.013258506339410161,0.03640320000979619,true,2045
7bLCyBuFdPFYbBuztRvqrX9e13Dt6mfpoxdnMDhXvZaV,9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,"",0.46670798372743455,0.29595728451563696,2447.416666666667,1552.0000000000002,5244,0.27204843421300395,0.3210406752841424,true,0.014474311786043317,0.035187394563163034,true,2643
HBNvkUX6QQSrF2o2d79np8HVAmd56xAJzomYcoHJs9Qq,2sWtnefPHSWVX1g3rAVBCwjLxRAKWqrUdMSTSHEccQmt,"",0.45126557632398756,0.29186137071651086,1931.4166666666667,1249.1666666666665,4280,0.2655966719141062,0.319593092942826,true,0.01336716927951734,0.03629453706968901,true,2109
7HeRDsS2W3z5BETC7NqkyoK3hUm3KRaZ9i9nDy9EUGRP,BLGrvMvkdMFyo6EjpsTbbmHd6Qa5P4XsQtqYxEG3BNUj,"",0.45968992248062013,0.28875968992248063,395.3333333333333,248.33333333333334,860,0.23270041077736842,0.3521263583852216,true,-0.0007430408397834168,0.05040474718898977,true,375
9aUUBU9AQvgeL8GqSubinJWJxhcXptj3nmvhVEAme4HT,GhBWWed6j9tXLEnKiw9CVDHyQCYunAVGnssrbYxbBmFm,"___",0.39920532646048107,0.28155068728522337,1548.9166666666665,1092.4166666666667,3880,0.2543497992307366,0.31044938627870994,true,0.01279074957546238,0.03687095677374397,true,1795
DhKrFYrbiNJSJbVN242Bmi8izphkX6M68mf5R7A2vHgp,GioetmC79nLRnN7VDfHaq8coWAEFPJKu9py59uUqdV5U,"___",0.3929811507936507,0.2796068948412699,1056.333333333333,751.5833333333335,2688,0.24723374271389698,0.3144483094581515,true,0.010365419630611909,0.03929628671859444,true,1214
impuzqtjwjxwHouDxv9qJ2EZd986ZeYWvHNzgPgaG3M,AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,"IMPULSE⚡️",0.3900436046511628,0.27873062015503874,1341.75,958.8333333333333,3440,0.25000687451858966,0.30939309624653427,true,0.01204390616740988,0.037617800181796474,true,1555
