leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
FimxwskHym6UxYbPyTNovPKqnaHnUuSDDXangz7ysUmQ,,"",0.5074046184738956,0.329066265060241,336.9166666666667,218.50000000000003,664,0.26262415382993876,0.4031279719894726,true,-0.0058862180942750135,0.030521469417026336,true,396
6k8XrwBQhS3LcMGDte72JbBCXH6VGWqpPDJm5Z8w9Aty,,"",0.41198224852071,0.2880917159763314,278.5,194.75,676,0.22555122682540754,0.3599142855205665,true,-0.00572392204275372,0.030359173365505043,true,390
8f8ictfTPjKtJcn8Av8jfqh7uvU3UbDtsreADQTbB1No,,"",0.38665902140672787,0.27303134556574926,337.1666666666667,238.08333333333334,872,0.2185804268395484,0.3352275364638903,true,-0.0035674356899775307,0.028202687012728853,true,412
7pnQN2YLCzVr94XHEwC6dCJpBLANhad4sbXwsZMbPnF3,,"",0.3392229254571027,0.2529008438818566,321.58333333333337,239.75000000000003,948,0.20215366063325274,0.31141487282869756,true,-0.002917392290379777,0.0275526436131311,true,341
HNz9KC2vFPfC7TPmNtzh7nCDWDBYTLpCbmn5QD2UYX9u,4gg56BTsCSEXW3CLw7BuT31x3ptEjSz6aeVE1Xjby22R,"pro100invest",0.30390893470790376,0.24296606529209624,471.66666666666663,377.08333333333337,1552,0.2032261318987684,0.28767129225544985,true,0.0004106550829746994,0.024224596239776623,true,616
BiF9ZbQht1TgHwWEcrbMQFt37aLEPpNvXWAyd7SuqhpR,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,"SHP",0.34027777777777785,0.23842592592592596,24.500000000000004,17.166666666666668,72,0.10054200146826892,0.46718704487661683,true,-0.042964010812283064,0.0675992621350344,true,32
3fnhNULLwi3BEyFUVS3qAqPjwegsNDTr3k7C8GxFbmau,CtombV3RrUSMKJEjnhTALqFTxKg4uLmYzRex348LRxSH,"TiTo Validator",0.2798985362608117,0.22455089820359284,560.9166666666666,450.00000000000006,2004,0.19042696683381513,0.26280470532475597,true,0.0018391458648729393,0.022796105457878385,true,795
GPt2TFT3bNXSEXqsjdreW9eryC1opPUw3iah9VeW1xYn,,"",0.28514168530947054,0.22222222222222227,509.8333333333333,397.3333333333334,1788,0.18639171909194127,0.26271642093202796,true,0.0012242586404647236,0.0234109926822866,true,469
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.2880952380952381,0.21249999999999997,40.333333333333336,29.749999999999996,140,0.10972851339851544,0.3713742992310408,true,-0.0273268904291087,0.05196214175186002,true,50
rubi69KY2Nvmjc1aKiUkUkjDNdBJgExCmndcC8xLody,tra6iWoZRjVxLoBMtafHWX7ZkoXCPRKf5r66fSc2fu5,"",0.2569444444444444,0.21031746031746032,21.583333333333332,17.666666666666668,84,0.08927554484836245,0.4198198345529601,true,-0.03886322453425698,0.0634984758570083,true,31
