leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
4dALbSiXCWQFF4KvA2hoKrpVLMUscVFFyfSxW8m2K1Ex,9jmvcGEGNq83FqzJrRVHoRX6sDc3MFbg8PeKyCGwzKgm,"",0.8125,0.5625000000000001,3.25,2.2500000000000004,4,0.06910604996171343,0.9570217496819272,true,-0.28867070392347394,0.32736614043141044,true,1
7HW9bm5W1eA6RoDAodeoJZwzYjwWj95BeEd5MQKrpMCq,AJTwC1Y3e7DRXPij3ZehavvugoL5hUfW6vhQzeYYu2JC,"",0.8020833333333334,0.45833333333333337,6.416666666666667,3.666666666666667,8,0.08165657514799951,0.8895291809854957,true,-0.19845419679808196,0.23714963330601846,true,8
8BwV97uHgQEFYGVhMxcrUuNZ7rzhpiiHJNAThvCX4zv3,,"",0.8420018492834027,0.39201918631530275,2428.3333333333335,1130.583333333333,2884,0.35730241266347906,0.4278635189014305,true,0.007876512766280815,0.03081892374165569,true,2895
3zr2d3xyqANDBpbaq3QNvn9W6fofxGGK5AKbF9dEvNvk,7cPztttFu6zHWvHqnGPRhxvGrmoMdzm75Lsn2yTbHbi2,"",1.2083333333333333,0.375,4.833333333333333,1.5,4,0.032101798822393224,0.9156426018903252,true,-0.28867070392347394,0.32736614043141044,true,3
BiF9ZbQht1TgHwWEcrbMQFt37aLEPpNvXWAyd7SuqhpR,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,"SHP",0.5139973958333334,0.35319010416666674,131.58333333333334,90.41666666666669,256,0.24815777553442353,0.4746142976754838,true,-0.01915458451821202,0.05785002102614853,true,168
GqT4x9wuaqxES9KpnqjyX1t9ddVj25YMeG7mnkds8HWF,Ac5y3nnaU97CqdsqNBygqxbCd7Hk8NU5PVk61R5qMHqT,"",0.6011513157894737,0.346765350877193,182.75,105.41666666666667,304,0.25012630602349734,0.4579402838082342,true,-0.015984417930776953,0.054679854438713454,true,193
rmnh7A7y6LuSPph6x9JxNN1dzLZ1NoXSMGBemMJMwZZ,yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,"romanh",0.511029411764706,0.3198529411764706,34.75000000000001,21.750000000000004,68,0.15094808205298735,0.5543565732948252,true,-0.055357722291542774,0.09405315879947927,true,52
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.4308035714285715,0.3162202380952381,48.25000000000001,35.416666666666664,112,0.1761681345094823,0.5000334266895895,true,-0.03886229205374704,0.07755772856168355,true,58
7XCbYkANgiqgCoevBmJMAwYqD4iuKzNEJjd2XtF5QExp,AUTnPgB8m6qsctP9RRAcmnVrLSpZbBYB8nQAzYUN5j8q,"Dima_FantomasUA",0.4384334691106586,0.314112355736592,861.0833333333335,616.9166666666667,1964,0.27491656924375596,0.3561515299237208,true,0.005447041454617723,0.03324839505331878,true,1122
MRGSoA53J7i4WidVHTxawPyKdr26LdVYCywnrUZ6auT,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,"MARGUS.ONE 💎 0% fee +MEV!",0.4297161172161173,0.3090659340659341,156.41666666666669,112.5,364,0.2240406861111347,0.40933693709492325,true,-0.012941385885994038,0.05163682239393054,true,202
3fHDpgV7GG2fRirqYNFvAUfH5BnbQnRYDqeJBpVFKm8s,FQ5Hc8CgnBBFT87QYt72SVVYGEk677fZHDKH1wX2TeQ5,"NeverBackDown",0.4274439102564102,0.3061698717948718,889.0833333333333,636.8333333333334,2080,0.268369465229511,0.3467710020622764,true,0.005840216890717063,0.03285521961721944,true,1117
5B1eeUcVsdX1GQPxeipE6MXaQZwGAWNEWCTPWXqVL2j9,33jhUy4KkZ3AxRfqLshb4u6u6pA1MC6yoNHrKWNeRxbg,"dikijkoala",0.41052456839309426,0.29830677290836655,412.16666666666663,299.5,1004,0.245464328105676,0.3571405060417209,true,-0.00009423215897352497,0.03878966866691003,true,521
8ypigreunb34pCiQRqZzQoie2ej5prAjovUq7sHB6gMZ,DsT3eKbWAaX9wVZQYBsbkDwpFA9NTDtXfsYc9wXUEWpn,"vilar",0.4036532951289399,0.2853987583572112,563.5000000000001,398.4166666666668,1396,0.2408717537421605,0.3345296482287048,true,0.0028598701281948302,0.035835566379741675,true,781
Hu3b6mGQJ5jRYRJxdH4kZX6VAyw3p4LAmxDBxhvXVKje,FyrSH4VeQidMVPQ9AE2szAbP5xBZBprRG3z1QMMLNi5X,"Gotham",0.3900641025641026,0.2805288461538462,405.66666666666674,291.75000000000006,1040,0.22977605844715865,0.337578581251436,true,0.00024522663228535024,0.038450209875651155,true,541
4J9HoqBamEDyEKGDZgeRjCpiGCirHzqP1CadWmznrghF,Cqg1VwU4pdC8zAYMZZUViJuy1v1G8vxdYeUW3UNCqpfV,"SolGeo 🪐",0.4015497967479675,0.27877286585365857,526.8333333333334,365.75000000000006,1312,0.23334248603063715,0.3292496736814374,true,0.0023402460438576057,0.036355190464078896,true,722
