leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag
7b7VuKUv1NCDhbdvufkTKCV5kpzyc5yH4A7YKMUjykX2,BG43US2rrtZggEPtXuVnabwp9FbKCuyZDASvJ1EsNAHF,"Fartcoin Community 💨 11%+ APR",0.16477272727272727,0.134469696969697,50.75,41.41666666666667,308,0.0757956081994836,0.22738888608825525,true,-0.028449411287892225,0.1527794377429187,true
LytENd5zY8d2nG1o5r4oz1CX5oHv1W13HkMmPgo8MUg,3nYnW8z3Aum5U6HiVLJkR71rauWPW2hyvngye4t25rPt,"🛡️ EverSafe | 0%",0.16935861423220974,0.13418773408239698,241.16666666666669,191.08333333333331,1424,0.10286730486527404,0.17320332167795519,true,0.020022765062269396,0.10430726139275706,true
6cgNsURNykJ8H7eLQu7XbLZCAc2yrCFgkfWaEWHYHXDb,5m3oE8X1HokEpjXJv9eES98JiNuD9yp1T9TDCuxvZZDR,"Rust = 1 Love",0.1719601287766221,0.13400817236255572,462.9166666666667,360.75,2692,0.11049933657199502,0.1616098272557473,true,0.031514682356363434,0.09281534409866302,true
yJeahQNRHNWtL9Z1SqPX3SBwTYXr5ECMYYVK4uYVwxt,J4pH3yiFrzFG1AQPRGBJXo3HP72MCZwsQamtp9ym4LwN,"Dosirak 🇰🇷",0.1792992741485204,0.13393355667225015,428.1666666666667,319.83333333333337,2388,0.10911110024759499,0.16336751924547396,true,0.029622167030906442,0.09470785942412002,true
9vE5CDEtr7GHQfZ7aRBJmMbTJZqCFGjkdZarYL1AYeGu,5HVnkucygxhRqnVqch1vEoH36CEpb9TRJAQHW1gKwuzD,"SoLada",0.16753472222222224,0.13368055555555558,48.25000000000001,38.50000000000001,288,0.07375841104288461,0.23018599304280918,true,-0.03154293976044136,0.1558729662154678,true
DRvqSY8pMgWPMPpNMnof4S25qp6VySBC4hcvi9EBu4ZP,DR3Gt31cATSx4T6qRTaWcPzLKP3FSYpqrZ74iDHVm5A5,"",0.16749999999999998,0.13322916666666668,134,106.58333333333334,800,0.09323415873581067,0.1868456983352804,true,0.0059402414347404855,0.11838978502028596,true
5NMUFJ3gJxGw7tqJToRUghX8VAp75KKN2QdECZXbQoT7,4BwKbV3ViY9huwhxRrbYWC5GgRUCwEe9k1YpFqFC7kQa,"Dirizhable",0.1691295781177561,0.1331710709318498,486.4166666666666,383,2876,0.11043269330820582,0.1597505546213922,true,0.03251135662378206,0.0918186698312444,true
4QPDHzck5VbGf2cxNM3KNTw1beryrUxb8TTvjgjovX4B,ANRnEc3NFWyDFkJNHPnts9XAT1odt931qbgzMsSGdE1z,"Synergy | Solist.App",0.1610949612403101,0.1328125,221.66666666666669,182.75,1376,0.10118277307202422,0.1724328276065577,true,0.01929402664913922,0.10503599980588724,true
AYTzhcFH5JcPz71wRz4pV9iJu7cCRchD12q6fpx2fCtM,DKnZkpsqtS4kpFP5zWudrg8w9eCUHixJ2QCRtwwxh8Me,"jLbey J.O.S.S.",0.18164954337899547,0.13242009132420093,106.08333333333336,77.33333333333334,584,0.08703753072331707,0.19637587127989473,true,-0.003641104687154416,0.12797113114218087,true
44ZDKo96gQR1h2afAA3oXgutUzHcRXH72RYxhtGxzWYk,FsMucSM7B5y5PtehabtQJjDrGmKcMEtwvt1TpSjDrcZW,"MIKROTIK",0.15661549707602337,0.13212719298245615,71.41666666666666,60.25000000000001,456,0.08210934309061474,0.2057831172545479,true,-0.012306516280612252,0.13663654273563872,true
2zAbHUpE4MRgEwq1MWh3i9aJyzazSjUUPrmhNViqQn5W,ESjX2jRuvdr2a47JfEKjP24gNsgreE9PvSpkw4t5Xn2M,"valer amor",0.17520833333333333,0.13187500000000002,70.08333333333333,52.75000000000001,400,0.07930909882351499,0.21128603214846375,true,-0.017348821583158223,0.14167884803818467,true
4FozAhZhAo8ZTuzNHeAHMDDLqWmRwioWBhFqybZYHamV,FXbkkbLWH4PxSK8t1JmKAHn4pEvGsCFyMT7pfgwm62us,"alexar",0.16372549019607843,0.13153594771241833,167,134.16666666666669,1020,0.09569936873881027,0.17814855601222926,true,0.012371518391738813,0.11195850806328764,true
9oJDQSVw9z7Hb6NGQvoYbvqEGgdyzt5SzX73uKRCupVr,74PrnaiKU5q8SJX4H9Jis7xyzMUNoSesizn7FhFZaxfG,"iX",0.17567567567567566,0.1309121621621622,51.99999999999999,38.750000000000014,296,0.07233388804162935,0.22540245637049158,true,-0.030267942214553346,0.1545979686695798,true
HgozywotiKv4F5g3jCgideF3gh9sdD3vz4QtgXKjWCtB,DHoZJqvvMGvAXw85Lmsob7YwQzFVisYg8HY4rt5BAj6M,"coyote.staking",0.17270531400966185,0.13081906016688627,524.3333333333334,397.16666666666674,3036,0.10882940845946606,0.15647172903899806,true,0.03330331966591541,0.09102670678911104,true
BiF9ZbQht1TgHwWEcrbMQFt37aLEPpNvXWAyd7SuqhpR,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,"SHP",0.1733974358974359,0.13044871794871793,45.08333333333333,33.916666666666664,260,0.0692086802974186,0.2323506427002145,true,-0.036459760741604764,0.16078978719663123,true
HNcSu8SVg4fuRyM3XV255totbTe6NPGhPSApzxn4V5Jx,GiAsNLcrHMMwmd5H9RqAxKgbwoiBVw43Yb5b9eL2uhWh,"",0.166253671071953,0.12968061674008813,301.91666666666663,235.50000000000003,1816,0.10204433270282154,0.1634392348751879,true,0.02484732149926141,0.09948270495576506,true
5WgvknZoXna3Fm8qiAmi2D4sZg6u1iyCWNXWxhAc9p4B,b3d74rXdGgdw9XeqRWgAnm7bsZgg9mf5J5hjZMqKxRD,"RNT",0.15790448962304107,0.12947373994070308,497.0833333333333,407.58333333333326,3148,0.10795517127770733,0.15453850170244451,true,0.033821392169578066,0.09050863428544839,true
rssaJ2iKcE9QWsFYRZr8Q66TQh5bRk9DxYrzxGMzWQr,RSSAw6n7Tvqi5iJc2xvHMfk1bhx47GVqj2pj1bq5NUq,"RSSA Validator",0.17181776556776557,0.12946428571428573,125.08333333333333,94.25000000000001,728,0.08850822487370498,0.185514984845839,true,0.0032254375089993334,0.12110458894602713,true
5LqdfTzdPtnqTyKaduT2eRvtLgfGucVCJ3Gu1MmgtEq,J5L2z5rVWQHFeM8PzSSTnDedLrYgnK6WKxU4X8hh4qry,"AnyPool",0.16794336118848655,0.1285399257195915,241.16666666666669,184.5833333333334,1436,0.09801316250506156,0.16681603691433836,true,0.02019921628315461,0.10413081017187184,true
4VmboVWgpQKM9hcULoYjNdhrDsy8JDD1S6uxuU37xEBE,6wrzzX8hhhwY8NVtZWJqYJJfqnkDiFq6qTZEKLv3SjZk,"DeepSol",0.15648263027295284,0.12841191066997518,252.24999999999997,206.99999999999997,1612,0.0994167883044271,0.16432055094196188,true,0.022556350847195435,0.10177367560783102,true
6qfpcN1G71zJW4oC3d7qzSkHanqzJCZmdJHCGsXGEsof,9HkDHk27SwpNdVuAjWvxx8d1Pg8HYUNCC721okcvj9Eg,"meme32",0.1784692417739628,0.12830829756795423,332.6666666666667,239.16666666666669,1864,0.10113788714621792,0.16146676380195601,true,0.025330940533567103,0.09899908592145935,true
Fa17nmHFt62kmerRQNGtgVWDxnuf7UD3PY2eeFfhpz2t,E3yhPs5PPN4RZh8FbJo2eqtdrAYKCK9H7pcSD1vCNCP4,"dimGate",0.1763888888888889,0.12817460317460316,74.08333333333334,53.83333333333333,420,0.0774340021855471,0.20478390868757868,true,-0.01543254396463866,0.1397625704196651,true
G3x5eb53kUpp92FWiyqRWJ3Q6e9tH3dEjGDgDWYf6was,GFK84uv9cr1d6KnkPERSEYagTvpLKTuwa8W9adx1qMg6,"Corgi-node ⚡️ 0% Fee + MEV",0.16121752531924266,0.12816490532804933,488.1666666666668,388.08333333333337,3028,0.10636672223885986,0.15366213894709982,true,0.03326521840370025,0.0910648080513262,true
keSVSWNZfPBeQPcwvvkkerr2Xd6XoFUyPeWwzHSUdNN,6Wi4bMzio6PGnHXg39zBMjGp5vgphLBB2k238DzPBqhz,"nikks",0.16223753280839895,0.12795275590551183,82.41666666666667,65.00000000000001,508,0.08088677722530392,0.19654874541448608,true,-0.008392105680373678,0.13272213213540013,true
CcLocgmBiGiFGL9S85dG1Q8BY3vSXVJ76nJKYfdAj3Ud,4vggdLQRGJYvBkgbVh6kEWhyBzua1yYVpZKh4GeiLo6w,"Cryptopia",0.16997354497354497,0.12731481481481483,42.833333333333336,32.083333333333336,252,0.06632553274214192,0.23053884546450226,true,-0.038013002343014045,0.1623430287980405,true
2mDrrmhSzpSyaF12izGk8hnFjtKCGeCFPwQHpRiJDby2,9wQQnnnkk5b5GkQWTW9L4kEA3CjFv6CqsQd5gt6tRsHK,"S4Mar",0.15966428287644022,0.1267381803734605,535.8333333333334,425.3333333333334,3356,0.1060590187891059,0.15076929984624565,true,0.03471378889999538,0.08961623755503108,true
9Hk5RS6H7io9y2mcNBPFa9BBVnMuiNgGSHxrF7iNsNws,3JadNLK7V9NNzC9a1jRAZQXExT7mBtBhcjCaaaRE7B3R,"Abyss",0.1564245810055866,0.12604748603351956,112,90.25,716,0.08541000634426052,0.18216882512196456,true,0.0027335827307369,0.12159644372428956,true
EWVSb1db8iCNzbH3sejdo3fkYhZAUqwz1LTjWdaSd7Cz,CdVHBthnsGiEX53cAG2cHrwsfZseUsQNYTm6By6qno4f,"",0.151536312849162,0.12558193668528864,108.49999999999999,89.91666666666666,716,0.08502715314008985,0.18163985614308664,true,0.0027335827307369,0.12159644372428956,true
DwVrdrJNTRYbgEKyHUUyAoR9t5MfSYkeGXM6UySRQBCi,GuPnsaM3j4ojKe2KJpcaAWNmhk5n2kaJxc8ZKkowdxrw,"",0.19296448087431695,0.125,47.083333333333336,30.5,244,0.06402734652726712,0.22978168820605016,true,-0.03964201997906743,0.16397204643409388,true
5TqMpx4wDLRn7qNaNxJ1bsznrqAhF9meoxcpdY2Bc6Es,6minRorGYiA5aEeDvXL1Usat6DCdaF46owL3oANVQ8uB,"skill",0.14871086556169433,0.125,107.6666666666667,90.5,724,0.08473320497983086,0.1806259685528502,true,0.003062845267076973,0.12126718118794949,true
DqRT482tSPAyo9LAyXnqT1wgPFVwFTVFrT5oH1Wv2gyx,9gY4S2LkL6QJwBU7hpDFEMKcvb7tvdqW29UfobazJG5i,"QuantumSol (0% Fee)",0.15138507326007325,0.12482829670329673,220.41666666666666,181.75000000000003,1456,0.09494017355943597,0.1624367947953016,true,0.02048843955669407,0.1038415868983324,true
HnwMGBAw5PxaX56eSYc969MorEy2NzEMPLkmBkdnJmeq,2wUhcnViyzstvWmk7NAboKtjbFbqJPo4BvFBV37dacLc,"⭐StepByStep⭐ 0%Fee+Jito MEV",0.15210176991150443,0.12481563421828909,68.75,56.41666666666667,452,0.07624874129009471,0.19769684493365705,true,-0.012635310504091522,0.13696533695911797,true
8Q7K2irCbYfEG5ZWyBceiytbL1u977gXqw7UaHZ55Awo,3zEbnWKibg574DaGC1EA3zLNwBK6MGQxEySUgQWKBaYV,"OHara Nodes",0.16635784872671988,0.12431109844165715,583.5833333333334,436.08333333333326,3508,0.10423881687221452,0.14761157842381378,true,0.035315099009128194,0.08901492744589826,true
Bkucd9XTD2geqNsgcbMcqsSnLhqfHUuDvAUSGCXsJBdK,HVuzQEZtxQycpfJsLNAeykrqT2vLzKtUyKaAnNsnKy1A,"Solbase",0.1581413730803975,0.12387082204155374,233.4166666666667,182.83333333333331,1476,0.09427867180517632,0.1610992359067779,true,0.02077176421227403,0.10355826224275243,true
