leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag,dontfront_violations
BMJE6zFwTXwPopVdG1ccYMLWWGd5aNPvm5offrqHUxXV,9SGUxCqs4fpRCRuVKyfqoZxkBSSXgH37ca6XfyLsK31F,"",1.3333333333333335,0.43750000000000006,5.333333333333334,1.7500000000000002,4,0.04297825031807262,0.9308939500382867,true,-0.332432878908512,0.37748248208311513,true,0
GqT4x9wuaqxES9KpnqjyX1t9ddVj25YMeG7mnkds8HWF,Ac5y3nnaU97CqdsqNBygqxbCd7Hk8NU5PVk61R5qMHqT,"",0.5872619047619048,0.35690476190476184,411.0833333333333,249.8333333333333,700,0.29016741421410475,0.4296996659270894,true,-0.004307476942533979,0.04935708011713715,true,459
7b24ANrGm5tPzZsedBbuXUuVZN1tEwf9k4zFcNXm6nYs,GZw27T4rCYcmzVG8tYqkQ29Hw2Gg4oQ3Z7PtqoQ5TmoV,"",0.5562097423510468,0.3372584541062802,921.0833333333335,558.5,1656,0.2937134922891231,0.38375155391910215,true,0.005079583332465675,0.039970019842137494,true,961
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.5108333333333334,0.33666666666666667,51.083333333333336,33.666666666666664,100,0.1854530958131037,0.5308262036303208,true,-0.04846673451186113,0.09351633768646431,true,52
7HW9bm5W1eA6RoDAodeoJZwzYjwWj95BeEd5MQKrpMCq,AJTwC1Y3e7DRXPij3ZehavvugoL5hUfW6vhQzeYYu2JC,"",0.5455097087378641,0.33367044228694714,674.25,412.4166666666667,1236,0.2837796507398629,0.38758586435610876,true,0.002331964658186074,0.0427176385164171,true,734
8BwV97uHgQEFYGVhMxcrUuNZ7rzhpiiHJNAThvCX4zv3,BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD,"",0.49918220477592395,0.31276578344782474,2034.666666666666,1274.8333333333337,4076,0.2852495927041616,0.3416674615748172,true,0.011405193370641267,0.033644409803961904,true,2332
3zr2d3xyqANDBpbaq3QNvn9W6fofxGGK5AKbF9dEvNvk,7cPztttFu6zHWvHqnGPRhxvGrmoMdzm75Lsn2yTbHbi2,"",0.47315950920245403,0.3082566462167689,1542.5000000000002,1004.9166666666666,3260,0.27773754818091195,0.34054810546169817,true,0.010091176342030677,0.0349584268325725,true,1625
CYhgRWDhcgLwwTo1XBKnzzVS3L3767ueyQmQjSeLeLbK,2NS9Jo3WJvxz6K1vnMdFVsVQXBLZZounC5w8n8AEHDCy,"",0.4358420593368238,0.28647469458987784,1664.916666666667,1094.3333333333333,3820,0.2589013674547075,0.315733525974223,true,0.011038640784290133,0.03401096239031304,true,1777
5B1eeUcVsdX1GQPxeipE6MXaQZwGAWNEWCTPWXqVL2j9,33jhUy4KkZ3AxRfqLshb4u6u6pA1MC6yoNHrKWNeRxbg,"dikijkoala",0.384748427672956,0.2850628930817611,407.8333333333333,302.16666666666674,1060,0.2344376949258873,0.3417402325399704,true,0.0007199246061731744,0.044329678568429995,true,466
HBNvkUX6QQSrF2o2d79np8HVAmd56xAJzomYcoHJs9Qq,2sWtnefPHSWVX1g3rAVBCwjLxRAKWqrUdMSTSHEccQmt,"",0.42363998613998616,0.28454175329175335,1630.1666666666667,1094.916666666667,3848,0.2571303588989888,0.31364158286966176,true,0.011080506648988351,0.03396909652561482,true,1798
7HeRDsS2W3z5BETC7NqkyoK3hUm3KRaZ9i9nDy9EUGRP,BLGrvMvkdMFyo6EjpsTbbmHd6Qa5P4XsQtqYxEG3BNUj,"",0.4470029239766082,0.2833516081871345,407.6666666666667,258.4166666666667,912,0.22920172022656118,0.34457562626509264,true,-0.0009828450729714444,0.04603244824757462,true,388
8ypigreunb34pCiQRqZzQoie2ej5prAjovUq7sHB6gMZ,DsT3eKbWAaX9wVZQYBsbkDwpFA9NTDtXfsYc9wXUEWpn,"vilar",0.39511768447837153,0.28291984732824427,414.08333333333337,296.5,1048,0.2321769610700221,0.33984421197091774,true,0.0005954428508615009,0.04445416032374167,true,479
4dALbSiXCWQFF4KvA2hoKrpVLMUscVFFyfSxW8m2K1Ex,9jmvcGEGNq83FqzJrRVHoRX6sDc3MFbg8PeKyCGwzKgm,"",0.4333435960591133,0.28248152709359614,2111.25,1376.2500000000005,4872,0.25809085828598866,0.30821961595687875,true,0.012354052658185307,0.032695550516417864,true,2285
7bLCyBuFdPFYbBuztRvqrX9e13Dt6mfpoxdnMDhXvZaV,9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,"",0.4141643918713982,0.27631179860479227,1820.6666666666665,1214.6666666666667,4396,0.25087328759696675,0.3032854705443457,true,0.01181755679977962,0.033232046374823555,true,1984
9aUUBU9AQvgeL8GqSubinJWJxhcXptj3nmvhVEAme4HT,GhBWWed6j9tXLEnKiw9CVDHyQCYunAVGnssrbYxbBmFm,"___",0.3901840198321892,0.2762919527078566,1364.0833333333335,965.9166666666667,3496,0.24788042877117678,0.3066323122627218,true,0.010518178941905683,0.03453142423269749,true,1602
DhKrFYrbiNJSJbVN242Bmi8izphkX6M68mf5R7A2vHgp,GioetmC79nLRnN7VDfHaq8coWAEFPJKu9py59uUqdV5U,"___",0.3857040229885058,0.27492816091954025,894.8333333333335,637.8333333333334,2320,0.24041076377746654,0.31236345668000676,true,0.00778598613502891,0.03726361703957426,true,998
impuzqtjwjxwHouDxv9qJ2EZd986ZeYWvHNzgPgaG3M,AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,"IMPULSE⚡️",0.3828377132319041,0.2726198709082526,1107.1666666666665,788.4166666666666,2892,0.24164963221480706,0.30595792806875555,true,0.009323783407922644,0.03572581976668053,true,1286
STAKEmdfirzRm34Q4WrBiUQBnn6AaadYq4oq5hfuBZe,HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,"StakeShip 🛳  Additional rewards",0.3787960564191134,0.27209268854346574,1754.5833333333333,1260.3333333333333,4632,0.24742502043642323,0.2982450410965778,true,0.012093889189203589,0.032955713985399586,true,2006
ALTAzqTBthbRymkWxgZFBaXsrnSfxSQZST76XSehxJVa,A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,"AltaBlock",0.36618322203672793,0.26905954368391766,1754.7500000000002,1289.3333333333335,4792,0.2448911063288141,0.29468235100039636,true,0.012269506324820136,0.03278009684978304,true,2006
4J9HoqBamEDyEKGDZgeRjCpiGCirHzqP1CadWmznrghF,Cqg1VwU4pdC8zAYMZZUViJuy1v1G8vxdYeUW3UNCqpfV,"SolGeo 🪐",0.3693242521367521,0.2674946581196581,460.9166666666666,333.8333333333333,1248,0.22174417503825736,0.31881756231603403,true,0.0024292801013693494,0.04262032307323382,true,536
